Stage,Difficulties,BarrageIds,SC,JP,EN,VN,DoExport2A0
3,Challenge,32\9,彩符「流光溢彩」,彩符「流光溢彩」,"Colorful Sign ""Ambilight""","Thái Phù ""Lưu Quang – Dật Thái""",
3,Challenge,32\10,虹符「花火缭乱」,虹符「花火繚乱」,"Rainbow Sign ""Dazzling Firework""","Vồng Phù ""Hoa Hỏa Liễu Loạn""",
3,Challenge,32\11,「月影狂澜」,「月影狂瀾」,"""Raging Waves Under Moonlight""","""Nguyệt Ảnh Cuồng Lan""",
4,Easy|Normal|Hard|Lunatic,41|43|45|47,魔术「Poker Tower」,魔術「ポーカータワー」,"Magic ""Poker Tower""","Ma Thuật ""Poker Tower"" ",
4,Easy|Normal|Hard|Lunatic,71|77|83|90,恶意「Trick or Treat」,悪意「トリック オア トリート」,"Malice ""Trick or Treat""","Ác Ý ""Trick or Treat""",
4,Easy|Normal|Hard|Lunatic,73|79|85|92,魔法「杰克爆弹」,魔法「ジャック·ザ·ボンバー」,"Wizardary ""Jack the Bomber""","Ma Pháp ""Bom Jack Lồng đèn""",
4,Easy|Normal|Hard|Lunatic,75|81|87|94,恶梦「鲜红的梦魇」,悪夢「スカーレットナイトメア」,"Frightening Dream ""Scarlet Nightmare""","Ác Mộng ""Bóng đè Đỏ tươi""",
4,Hard|Lunatic,88|95,「午夜魔法狂欢节」,「マジカル·ミッドナイト·カーニバル」,"""Magical Midnight Carnival""","""Lễ Carnival Ma pháp Nửa đêm""",
4,Lunatic,96,「万圣节的烟火恶戏」,「ハロウィンの悪戯花火」,"""Halloween Firework Trick""","""Trò nghịch Khói lửa Lễ Halloween""",
4,Challenge,43\12,恶意「不给糖就杀死」,悪意「トリート·オア·ダイ」,"Malice ""Treat or Die""","Ác Ý ""Cho kẹo hay Bị hẹo""",
4,Challenge,43\13,「血腥竞技场」,「サングウィナリィ·コロシアム」,"""Sanguinary Colosseo""","""Đấu trường Tanh máu""",
4,Challenge,43\14,魔法「杰克地热源」,魔法「ジャック·ザ·ジオエネルギー」,"Wizadary ""Jack the Geothermal Energy""","Ma Pháp ""Nguồn Địa nhiệt Jack Đèn lồng""",
4,Challenge,43\15,恶意「死亡拥抱」,悪意「ハッグ·オブ·デス」,"Malice ""Hug of Death""","Ác Ý ""Cái ôm Chết chóc""",
4,Challenge,43\16,「杰克降临」,「アドベントジャック」,"""Advent Jack""","""Jack Đèn lồng Giáng lâm""",
5,Easy|Normal|Hard|Lunatic,9|19|29|39,「恶魔华尔兹」,「デビルワルツ」,"""Devil Waltz""","""Điệu Van-xơ của Ác ma""",
5,Easy|Normal|Hard|Lunatic,61|68|75|82,魔术「幻象蔷薇」,魔術「イリュージョンローズ」,"Magic ""Illusion Rose""","Ma Thuật ""Ảo Tượng Tường Vi""",
5,Easy|Normal|Hard|Lunatic,63|70|77|84,奇术「二次元杀阵」,奇術「二次元殺陣」,"Conjuring ""Two Demension Sword Fight""","Kỳ Thuật ""Nhị Thứ Nguyên Sát Trận""",
5,Easy|Normal|Hard|Lunatic,65|72|79|86,幻术「非即死空间」,幻術「非即死スクウエア」,"Illusion ""Un-instant Death Square""","Ảo Thuật ""Không gian Phi tức tử""",
5,Lunatic,87,幻符「刀锋红桃」,幻符「シャープ·エッジド·ハート」,"Illusion Sign ""Sharp edged Heart""","Ảo Phù ""Con cơ Mũi dao""",
5,Easy|Normal|Hard|Lunatic,66|73|80|88,「藏于牌中的杀意」,「マーダーインテンション·イン·カード」,"""Murder Intention in Cards""","""Sát ý Giấu trong Bài""",10
5,Challenge,52\17,「覆于牌下的杀意」,「マーダーインテンション·アンダー·カード」,"""Murder Intention under Cards""","""Sát ý Đậy dưới Bài""",
5,Challenge,52\18,时符「时段丢失」,時符「タイムロスト」,"Time Sign ""Time Lost""","Thời Phù ""Thời Đoạn Tiêu Thất""",
5,Challenge,52\19,奇术「空间变换术」,奇術「スクウエアアルタネーション」,"Conjuring ""Square Alternation""","Kỳ Thuật ""Không Gian Biến Hoán Thuật""",
5,Challenge,52\20,「时间夹缝中的恐惧」,「フィア·イン·タイムリフト」,"""Fear in Time rift""","""Nỗi sợ hãi trong Khe hở Thời gian""",
5,Challenge,52\21,奇术「刀锋魔术」,奇術「ナイフエッジ·マジック」,"Conjuring ""Knife Egde Magic""","Kỳ Thuật ""Ma thuật Mũi dao""",
6,Easy|Normal,14|16,黑洞「银河之心」,ブラックホール「ギャラクシー·ハート」,"Black Hole ""Heart of Galaxy""","Lỗ đen ""Trái tim Ngân hà""",6
6,Hard|Lunatic,18|20,黑洞「银河灾变」,ブラックホール「ギャラクシー·カタストロフ」,"Black Hole ""Galaxy Cataclysm""","Lỗ đen ""Ngân Hà Tai Biến""",7
6,Easy|Normal|Hard|Lunatic,22|32|42|52,天罚「魔夜降临」,天罰「ワルプルギスの夜」,"Heaven’s Punishment ""Walpurgis Night""","Thiên Phạt ""Ma Dạ Giáng Lâm""",
6,Easy|Normal|Hard|Lunatic,24|34|44|54,神枪「冈格尼尔之枪」,神槍「スピア·ザ·グングニル」,"Divine Spear ""Spear the Gungnir""","Thần Thương ""Thanh giáo Gungnir""",
6,Easy|Normal|Hard|Lunatic,26|36|46|56,红夜「湮灭」,紅夜「アナイアレーション」,"Scarlet Night ""Annihilation""","Hồng Dạ ""Yên Diệt""",
6,Easy|Normal|Hard|Lunatic,27|37|47|57,神罚「破碎之城」,神罰「キャッスルヴァニアブレイク」,"Divine Punishment ""Castlevania Break""","Thần Phạt ""Thành trì Vụn vỡ""",
6,Easy|Normal,29|39,「血十字审判」,「ブラッディクロス·ジャッジメント」,"""Bloody Cross Judgement""","""Huyết Thập Tự Thẩm Phán""",
6,Hard|Lunatic,49|59,「红色不夜城」,「スカーレット·スリープレス·キャッスル」,"""Scarlet Sleepless Castle""","""Hồng Sắc, Bất Dạ Thành""",
6,Easy|Normal|Hard|Lunatic,30|40|50|60,「通往地狱的入口」,「ヘルズゲート」,"""Hell's Gate""","""Lối vào Dẫn tới Địa ngục""",
6,Easy|Normal|Hard|Lunatic,61|65|69|73,终焉「恶魔祭典」,終焉「デビルフェス」,"Amergaddon ""Devil Fiesta""","Cái kết ""Lễ hội Ác ma""",9
6,Challenge,63\22,命运「交织逆反之命」,運命「交差する反逆なる命運」,"Destiny ""Interwined Rebel Fate""","Vận Mệnh ""Giao quấn – Nghịch phản chi Mệnh""",
6,Challenge,63\23,天罚「腥红血雨」,天罰「スカーレットレイン」,"Divine Punishment ""Scarlet Rain""","Thiên Phạt ""Mưa máu Đỏ tanh""",
6,Challenge,63\24,命运「平行的命运」,運命「パラレルフェイト」,"Destiny ""Parallel Fate""","Vận Mệnh ""Vận mệnh Song song""",
6,Challenge,63\25,红夜「杀人漩涡」,紅夜「キリングボルテックス」,"Scarlet Night ""Killing Vortex""","Hồng Dạ ""Xoáy nước Sát nhân""",11
6,Challenge,63\26,「不夜迷城」,「夜のない迷城」,"""Sleepless Mystery Castle""","""Bất Dạ Mê Thành""",
7,Extra,13,虹符「迅龙残影」,虹符「迅龍残影」,"Rainbow Sign ""Shadows of Rapid Dragon""","Vồng Phù ""Tấn Long Tàn Ảnh""",
7,Extra,27,幻术「银光杀人术」,幻符「シルバーライト殺人術」,"Illusion ""Silver Light murder Art""","Ảo Thuật ""Ngân Quang Sát Nhân Thuật""",
7,Extra|Challenge,29|74\27,禁弹「玫瑰地牢」,禁弾「ローズダンジョン」,"Forbidden Barrage ""Rose Dungeon""","Cấm Đạn ""Hầm ngục Mân côi""",
7,Extra,31,禁弹「血族启示录」,禁弾「血の一族の黙示録」,"Forbidden Barrage ""Kindred Apocalypse""","Cấm Đạn ""Huyết Tộc Khải Huyền Thư""",
7,Extra,33,禁忌「铁处女」,禁忌「アイアンメイデン」,"Taboo ""Iron Maiden""","Cấm Kị ""Xử nữ Sắt""",
7,Extra,35,禁弹「异端审判」,禁弾「異端審問」,"Forbidden Barrage ""Inquisition""","Cấm Đạn ""Tòa án Dị giáo""",
7,Extra,37,禁弹「千年圣战的夜宴」,禁弾「千年聖戦の夜宴」,"Forbidden Barrage ""Banquet of Millennium Crusade""","Cấm Đạn ""Dạ tiệc Ngàn năm Thánh chiến""",
7,Extra,39,禁忌「夜王苏醒」,禁忌「ナイトロード·アウェイク」,"Taboo ""Night Lord Awaken""","Cấm Kị ""Dạ Vương Thức Tỉnh""",
7,Extra|Challenge,41|74\28,禁忌「罹难漩涡」,禁忌「犠牲の渦」,"Taboo ""Victim Vortex""","Cấm Kị ""Xoáy nước Mắc nạn""",
7,Extra|Challenge,43|74\29,「命轮游戏 13号空棺」,「フェイトゲーム·13番空棺」,"""Fate Game Empty Coffin NO.13""","""Trò chơi Vầng mệnh: Hòm rỗng Số 13""",
7,Extra|Challenge,44|74\30,禁忌「孤独的葬礼」,禁忌「孤独な葬式」,"Taboo ""Isolate Funeral""","Cấm Kị ""Tang lễ Cô đơn""",
7,Extra,45,「末日圆舞曲」,「ドゥームズデイ·ロンド」,"""Doomsday Rondo""","""Mạt Nhật Viên Vũ Khúc""",
7,Challenge,74\31,禁忌「雷沃汀」,禁忌「レーヴァテイン」,"Taboo ""Lävatein""","Cấm Kị ""Lævateinn""",
